Start,Finish,Steps
29-Dec-2014 00:00,30-Dec-2014 00:00,0.0
30-Dec-2014 00:00,31-Dec-2014 00:00,12891.0
31-Dec-2014 00:00,01-Jan-2015 00:00,6247.0
01-Jan-2015 00:00,02-Jan-2015 00:00,3471.0
02-Jan-2015 00:00,03-Jan-2015 00:00,13874.0
03-Jan-2015 00:00,04-Jan-2015 00:00,2976.0
04-Jan-2015 00:00,05-Jan-2015 00:00,13583.0
05-Jan-2015 00:00,06-Jan-2015 00:00,8772.0
06-Jan-2015 00:00,07-Jan-2015 00:00,5536.0
07-Jan-2015 00:00,08-Jan-2015 00:00,8031.0
08-Jan-2015 00:00,09-Jan-2015 00:00,2888.0
09-Jan-2015 00:00,10-Jan-2015 00:00,3361.0
10-Jan-2015 00:00,11-Jan-2015 00:00,4128.0
11-Jan-2015 00:00,12-Jan-2015 00:00,6518.0
12-Jan-2015 00:00,13-Jan-2015 00:00,14868.0
13-Jan-2015 00:00,14-Jan-2015 00:00,5326.0
14-Jan-2015 00:00,15-Jan-2015 00:00,6474.05835667708
15-Jan-2015 00:00,16-Jan-2015 00:00,8205.94164332292
16-Jan-2015 00:00,17-Jan-2015 00:00,16804.0
17-Jan-2015 00:00,18-Jan-2015 00:00,7731.0
18-Jan-2015 00:00,19-Jan-2015 00:00,3928.0
19-Jan-2015 00:00,20-Jan-2015 00:00,12963.0
20-Jan-2015 00:00,21-Jan-2015 00:00,7013.0
21-Jan-2015 00:00,22-Jan-2015 00:00,12320.0
22-Jan-2015 00:00,23-Jan-2015 00:00,11223.0
23-Jan-2015 00:00,24-Jan-2015 00:00,9746.0
24-Jan-2015 00:00,25-Jan-2015 00:00,13506.0
25-Jan-2015 00:00,26-Jan-2015 00:00,4807.0
26-Jan-2015 00:00,27-Jan-2015 00:00,16866.0
27-Jan-2015 00:00,28-Jan-2015 00:00,9891.0
28-Jan-2015 00:00,29-Jan-2015 00:00,7572.0
29-Jan-2015 00:00,30-Jan-2015 00:00,9093.0
30-Jan-2015 00:00,31-Jan-2015 00:00,7763.0
31-Jan-2015 00:00,01-Feb-2015 00:00,12078.0
01-Feb-2015 00:00,02-Feb-2015 00:00,5084.0
02-Feb-2015 00:00,03-Feb-2015 00:00,19987.0
03-Feb-2015 00:00,04-Feb-2015 00:00,12662.0
04-Feb-2015 00:00,05-Feb-2015 00:00,17861.0
05-Feb-2015 00:00,06-Feb-2015 00:00,23384.0
06-Feb-2015 00:00,07-Feb-2015 00:00,23477.0
07-Feb-2015 00:00,08-Feb-2015 00:00,6873.0
08-Feb-2015 00:00,09-Feb-2015 00:00,7800.0
09-Feb-2015 00:00,10-Feb-2015 00:00,9491.0
10-Feb-2015 00:00,11-Feb-2015 00:00,3152.0
11-Feb-2015 00:00,12-Feb-2015 00:00,6150.0
12-Feb-2015 00:00,13-Feb-2015 00:00,10286.0
13-Feb-2015 00:00,14-Feb-2015 00:00,2597.0
14-Feb-2015 00:00,15-Feb-2015 00:00,10991.0
15-Feb-2015 00:00,16-Feb-2015 00:00,10018.0
16-Feb-2015 00:00,17-Feb-2015 00:00,6381.0
17-Feb-2015 00:00,18-Feb-2015 00:00,5817.0
18-Feb-2015 00:00,19-Feb-2015 00:00,897.0
19-Feb-2015 00:00,20-Feb-2015 00:00,3882.0
20-Feb-2015 00:00,21-Feb-2015 00:00,4623.0
21-Feb-2015 00:00,22-Feb-2015 00:00,9960.0
22-Feb-2015 00:00,23-Feb-2015 00:00,7829.0
23-Feb-2015 00:00,24-Feb-2015 00:00,13561.0
24-Feb-2015 00:00,25-Feb-2015 00:00,3726.0
25-Feb-2015 00:00,26-Feb-2015 00:00,6908.0
26-Feb-2015 00:00,27-Feb-2015 00:00,4048.0
27-Feb-2015 00:00,28-Feb-2015 00:00,2165.0
28-Feb-2015 00:00,01-Mar-2015 00:00,3234.0
01-Mar-2015 00:00,02-Mar-2015 00:00,4215.0
02-Mar-2015 00:00,03-Mar-2015 00:00,11862.0
03-Mar-2015 00:00,04-Mar-2015 00:00,5859.0
04-Mar-2015 00:00,05-Mar-2015 00:00,7352.0
05-Mar-2015 00:00,06-Mar-2015 00:00,5417.0
06-Mar-2015 00:00,07-Mar-2015 00:00,3684.0
07-Mar-2015 00:00,08-Mar-2015 00:00,5746.0
08-Mar-2015 00:00,09-Mar-2015 00:00,2565.0
09-Mar-2015 00:00,10-Mar-2015 00:00,9115.0
10-Mar-2015 00:00,11-Mar-2015 00:00,8575.0
